(0.5+0j) (-1.4615616157932758-0j) 
 (0.5+0j) (-1.4615616157924516-0j) 
 (0.5+0.1j) (-1.3838759444614075-0.37580003689643393j) 
 (0.5+0.2j) (-1.1835700504156175-0.6733505335543445j) 
 (0.5+0.30000000000000004j) (-0.9295926516368125-0.8594900689435506j) 
 (0.5+0.4j) (-0.679188134794858-0.945578537732656j) 
 (0.5+0.5j) (-0.46011041226173455-0.9615436878104219j) 
 (0.5+0.6000000000000001j) (-0.2789855088709122-0.936460956774224j) 
 (0.5+0.7000000000000001j) (-0.1335501157920346-0.8910290662004834j) 
 (0.5+0.8j) (-0.018817416102318213-0.8369177280388672j) 
 (0.5+0.9j) (0.07137903422341127-0.7796342630156285j) 
 (0.5+1j) (0.143399546777114-0.7222224653770373j) 
 (0.5+1.1j) (0.20216077018514195-0.6671575681551278j) 
 (0.5+1.2000000000000002j) (0.2503894565528758-0.615970291131512j) 
 (0.5+1.3j) (0.28967473538666816-0.5685933324936885j) 
 (0.5+1.4000000000000001j) (0.3218921751487063-0.5241043510754838j) 
 (0.5+1.5j) (0.3492226706789596-0.4821185222381205j) 
 (0.5+1.6j) (0.3730864301513871-0.44305241543445356j) 
 (0.5+1.7000000000000002j) (0.39376675959230795-0.4071217639548341j) 
 (0.5+1.8j) (0.41132457842493025-0.37368252928901663j) 
 (0.5+1.9000000000000001j) (0.4264789949941331-0.34186677357206774j) 
 (0.5+2j) (0.44025818893857743-0.311511699898711j) 
 (0.5+2.1j) (0.4530712107668165-0.28302300969031907j) 
 (0.5+2.2j) (0.4646299158103485-0.256451233032432j) 
 (0.5+2.3000000000000003j) (0.4748042361096379-0.2311831473508155j) 
 (0.5+2.4000000000000004j) (0.4841173350996186-0.20665804215489797j) 
 (0.5+2.5j) (0.4931907095891564-0.18298918108506007j) 
 (0.5+2.6j) (0.5020316808206953-0.1605762225293258j) 
 (0.5+2.7j) (0.5102358335117109-0.1393353347648292j) 
 (0.5+2.8000000000000003j) (0.5177634226609997-0.11870713803090066j) 
 (0.5+2.9000000000000004j) (0.5251117357100555-0.09839026114775092j) 
 (0.5+3j) (0.5326584498537323-0.0786706979178325j) 
 (0.5+3.1j) (0.5401971629631224-0.059870116402682146j) 
 (0.5+3.2j) (0.5473562288581257-0.041773940891783184j) 
 (0.5+3.3000000000000003j) (0.5542409178310213-0.02389759653949849j) 
 (0.5+3.4000000000000004j) (0.5613265625313233-0.006159929980763081j) 
 (0.5+3.5j) (0.5687893702800288+0.011065548470848762j) 
 (0.5+3.6j) (0.5763034343712047+0.027581340399708523j) 
 (0.5+3.7j) (0.5835993032278673+0.04370658844860978j) 
 (0.5+3.8000000000000003j) (0.5909196268777064+0.05981927832900398j) 
 (0.5+3.9000000000000004j) (0.5986832907368826+0.07581314263924338j) 
 (0.5+4j) (0.6068848449459651+0.09129686799339523j) 
 (0.5+4.1000000000000005j) (0.6151484418837965+0.1062196702189983j) 
 (0.5+4.2j) (0.6233443742002391+0.12096350835872793j) 
 (0.5+4.3j) (0.6318201581751065+0.1357684148032744j) 
 (0.5+4.4j) (0.6408973841501847+0.15037656653211634j) 
 (0.5+4.5j) (0.6504106422174627+0.1644380293510893j) 
 (0.5+4.6000000000000005j) (0.659994737438218+0.17805193683054593j) 
 (0.5+4.7j) (0.6696767046182014+0.1916126176010175j) 
 (0.5+4.800000000000001j) (0.6798630322997748+0.20519833064126322j) 
 (0.5+4.9j) (0.6907415167575249+0.21844220550204593j) 
 (0.5+5j) (0.7020167354310154+0.23108534304025j) 
 (0.5+5.1000000000000005j) (0.7133882714832274+0.24336332769141972j) 
 (0.5+5.2j) (0.7250393838358214+0.2556289053273827j) 
 (0.5+5.300000000000001j) (0.7373817082883884+0.26778620465878833j) 
 (0.5+5.4j) (0.7504417189715511+0.2794086894482688j) 
 (0.5+5.5j) (0.763832914050754+0.29036800572960136j) 
 (0.5+5.6000000000000005j) (0.777366264405098+0.30100838936358454j) 
 (0.5+5.7j) (0.7913646081079821+0.3115877997932182j) 
 (0.5+5.800000000000001j) (0.8061867757384236+0.3218372673741836j) 
 (0.5+5.9j) (0.821681460058944+0.3313255661752527j) 
 (0.5+6j) (0.8374176042521928+0.3400836315046108j) 
 (0.5+6.1000000000000005j) (0.8533551168885788+0.34852491825392645j) 
 (0.5+6.2j) (0.8699252757814124+0.35676355962691564j) 
 (0.5+6.300000000000001j) (0.8873750329733292+0.3643722863759799j) 
 (0.5+6.4j) (0.9053702639380705+0.37097408978519575j) 
 (0.5+6.5j) (0.9234873340700155+0.3767776325631689j) 
 (0.5+6.6000000000000005j) (0.9418630907617296+0.3822177843932255j) 
 (0.5+6.7j) (0.9609942344625577+0.3872220541084144j) 
 (0.5+6.800000000000001j) (0.9809576009946319+0.39123214737046663j) 
